track,artist,release,streams
PROVENZA,KAROL G,2022,1185929926
WAP (feat. Megan Thee Stallion),Cardi B,2020,1325725696
SPOT!,ZICO,2024,77757035
Family Matters,Drake,2024,72335127
Again,Kurochuu,2024,136237285
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023,1673557134
Last Night,Morgan Wallen,2023,922010059
Too Sweet,Hozier,2024,532012790
Bad Habits,Ed Sheeran,2020,1754311538
Leave The Door Open,Bruno Mars,2021,1312168384
good 4 u,Olivia Rodrigo,2021,2167768056
bad guy,Billie Eilish,2019,2516804300
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,1638836101
Eyes Closed,Ed Sheeran,2023,372423476
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023,630373315
Circles,Post Malone,2019,2481391466
EL AMOR DE SU VIDA,Grupo Frontera,2023,474590289
About Damn Time,Lizzo,2022,847025688
Closer,The Chainsmokers,2016,2880536961
FLOWER,JISOO,2023,440364356
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023,372248119
Havana (feat. Young Thug),Camila Cabello,2017,2072182782
LUNA,Feid,2023,606124553
I Like You (A Happier Song) (with Doja Cat),Post Malone,2022,827950825
Bones,Imagine Dragons,2022,1227475431
Selfish,Justin Timberlake,2024,92932220
golden hour,JVKE,2022,1126986320
Levitating (feat. DaBaby),Dua Lipa,2020,2074721986
Get It Sexyy,Sexyy Red,2024,89362910
"This Wish - From ""Wish""",Ariana DeBose,2023,26674909
IDGAF (feat. Yeat),Drake,2023,406875019
Ojitos Lindos,Bad Bunny,2022,1421763497
Life Is Good (feat. Drake),Future,2020,1237874594
Escapism.,RAYE,2022,804925777
Stargazing,Myles Smith,2024,106599323
Jimmy Cooks (feat. 21 Savage),Drake,2022,971473231
What You Know Bout Love,Pop Smoke,2020,1125681368
Memories,Maroon 5,2019,2011072164
Classy 101,Feid,2023,872148396
Whatever,Kygo,2024,222354971
Whatever She Wants,Bryson Tiller,2024,207093873
Vois sur ton chemin - Techno Mix,BENNETT,2023,361517395
"yes, and?",Ariana Grande,2024,416813996
Without Me,Halsey,2018,2042792456
meet the grahams,Kendrick Lamar,2024,65520394
First Person Shooter (feat. J. Cole),Drake,2023,328526298
Shallow,Lady Gaga,2018,2447973078
Thunder,Imagine Dragons,2017,2384768901
Rush,Ayra Starr,2022,371886608
abcdefu,GAYLE,2021,1128273165
Buga,Kizz Daniel,2022,86516910
Bad Habit,Steve Lacy,2022,1087938471
MONEY,LISA,2021,1189335848
Columbia,Quevedo,2023,721002940
LADY GAGA,Peso Pluma,2023,684204777
Woman,Doja Cat,2021,1606950381
CUFF IT,Beyonc?,2022,795960535
KING KONG,TREASURE,2024,8078265
How You Like That,BLACKPINK,2020,1033109188
Milf Song,The Puddleducks,2022,1165982
Nasty,Tinashe,2024,31612906
Superhero (Heroes & Villains),Metro Boomin,2022,706356280
Panda,Desiigner,2016,1181348550
Push Ups,Drake,2024,107762230
Tattoo,Loreen,2023,518846340
Kiss Me More (feat. SZA),Doja Cat,2021,1823871908
What It Is (Block Boy) (with Kodak Black),Doechii,2023,102772879
Gata Only,FloyyMenor,2023,4674619
Illusion,Dua Lipa,2024,108501771
drivers license,Olivia Rodrigo,2021,2184754018
Used To Be Young,Miley Cyrus,2023,205468104
Cupid - Twin Ver.,FIFTY FIFTY,2023,861388470
How Sweet,NewJeans,2024,33595707
Players,Coi Leray,2022,465588517
rockstar (feat. 21 Savage),Post Malone,2017,2960046642
Lil Somethin Somethin,Vayah,2023,11648
Con Calma,Daddy Yankee,2019,1353028938
Here With Me,d4vd,2022,1042311849
Favorite Song,Toosii,2023,186579651
Si No Quieres No,Luis R Conriquez,2024,158131138
Mele Kalikimaka,Bing Crosby,2024,186123398
MONTERO (Call Me By Your Name),Lil Nas X,2021,1902241314
Voz Emplumada del Monte,Biomigrant,2023,42761
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2023,406821432
Glimpse of Us,Joji,2022,1262308912
Watermelon Sugar,Harry Styles,2019,2708151499
Praise Jah In The Moonlight,YG Marley,2023,298853393
WHERE SHE GOES,Bad Bunny,2023,717849037
Yandel 150,Yandel,2022,837576264
THATS WHAT I WANT,Lil Nas X,2021,1062095453
Todo De Ti,Rauw Alejandro,2021,1339352060
Chemical,Post Malone,2023,503574147
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,1891920348
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018,1486929795
Shooting Star,Kep1er,2024,1534062
Uptown Funk,Mark Ronson,2011,1993030264
love nwantiti (ah ah ah),CKay,2019,853451422
Mi Gente,J Balvin,2017,1478442472
Late Night Talking,Harry Styles,2022,959639297
Miss You,Oliver Tree,2022,631378937
Yummy Fruits and Vegetables,D Billions,2020,2300838
Dakiti,Bad Bunny,2020,1977947460
Starboy,The Weeknd,2016,3291262413
Sorry,Justin Bieber,2015,2089476497
Calling My Phone,Lil Tjay,2021,777064903
Pink Venom,BLACKPINK,2022,736469450
I Can Do It With a Broken Heart,Taylor Swift,2024,250430303
death bed (coffee for your head),Powfu,2019,1656385770
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,2022,682837690
MELTDOWN (feat. Drake),Travis Scott,2023,347647880
Moscow Mule,Bad Bunny,2022,1108031580
Something Just Like This,The Chainsmokers,2017,2596644721
7 rings,Ariana Grande,2019,2262490403
Moonlight,Kali Uchis,2023,701558859
Savage Love (Laxed - Siren Beat),Jawsh 685,2020,1118038333
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Selena,2024,58157068
God's Plan,Drake,2018,2529948475
Sunroof,Nicky Youre,2021,879708559
MY EYES,Travis Scott,2023,403132906
WORK,ATEEZ,2024,10135326
Despacito - Remix,Luis Fonsi,2017,1713294983
Ghost,Justin Bieber,2021,1586830204
Dior,Pop Smoke,2019,1070422470
New Baby Shark,Pinkfong,2022,720822868
Breakeven,The Script,2024,858979483
SAD!,XXXTENTACION,2018,2218531106
Primera Cita,Carin Leon,2023,598006591
Efecto,Bad Bunny,2022,1293773697
Slow It Down,Benson Boone,2024,202667139
Yonaguni,Bad Bunny,2021,1398634184
Heathens,Twenty One Pilots,2016,1777196966
Whoopty,CJ,2020,775664145
Super Shy,NewJeans,2023,547471596
Happier,Marshmello,2018,2143821605
HARLEY QUINN,Fuerza Regida,2023,462284590
Baby Don't Hurt Me,David Guetta,2023,509231024
Butter,BTS,2021,1257974135
Cinderella,Future,2024,124945674
Calma - Remix,Pedro Cap?,2018,1153753974
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,2016,1733302434
Say So,Doja Cat,2019,1199270601
Ransom,Lil Tecca,2019,1355971796
Romantic Homicide,d4vd,2022,1136504636
Pink Skies,Zach Bryan,2024,60240739
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016,1528107667
Danza Kuduro - Cover,MUSIC LAB JPN,2023,1627429837
Rich Men North of Richmond,Oliver Anthony Music,2023,214598468
Que Vuelvas,Carin Leon,2022,684853927
Just Wanna Rock,Lil Uzi Vert,2022,665519026
Mood Swings (feat. Lil Tjay),Pop Smoke,2020,785016247
Fuck Love (feat. Trippie Redd),XXXTENTACION,2017,1615274494
Rich Flex,Drake,2022,812274757
Standing Next to You,Jung Kook,2023,675865902
Congratulations,Post Malone,2016,1984802459
Do It To It,ACRAZE,2021,805019111
Tusa,KAROL G,2019,1497511486
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2020,1119350842
Good Good,USHER,2023,53825007
Austin,Dasha,2023,273023490
Search & Rescue,Drake,2023,337858357
TULUM,Peso Pluma,2023,390182196
Shivers,Ed Sheeran,2020,1568058093
Coup du marteau,Tam Sir,2023,24933240
Adderall (Corvette Corvette),Popp Hunna,2020,90383224
Full Senyum Sayang,Evan Loss,2022,18296870
Sunroof,Nicky Youre,2021,890752779
Los del Espacio,LIT killah,2023,373898429
Taste (feat. Offset),Tyga,2018,1358105253
MAMIII,Becky G,2022,911797058
Until I Found You,Stephen Sanchez,2021,1020452066
exes,Tate McRae,2023,323100055
Banana (feat. Shaggy),Conkarah,2019,27747363
Stick Season,Noah Kahan,2022,965865213
Need To Know,Doja Cat,2021,1178076856
Last Last,Burna Boy,2022,410722289
Ngopi Maszeh,Happy Asmara,2023,8034198
500lbs,Lil Tecca,2023,350584176
Knife Talk (with 21 Savage ft. Project Pat),Drake,2021,732652170
BILLIE EILISH.,Armani White,2022,359416593
Madonna,Natanael Cano,2024,272838329
deja vu,Olivia Rodrigo,2021,1606975517
6. A.M.,Azul,2022,1186
WILDFLOWER,Billie Eilish,2024,100838516
Doja,Central Cee,2022,676519766
Kill This Love,BLACKPINK,2019,820840650
"Good Luck, Babe!",Chappell Roan,2024,176290078
Sweet but Psycho,Ava Max,2018,1668741024
Hey Mor,Ozuna,2022,986132265
Ferrari,James Hype,2022,626010147
Falling,Trevor Daniel,2018,1606023895
positions,Ariana Grande,2020,1432830108
Where Are You Now,Lost Frequencies,2021,1223329465
Amor Prohibido - Remasterizado 2024/30th Anniversary,Selena,2024,302177116
Save Your Tears,The Weeknd,2020,1995511952
Happier Than Ever,Billie Eilish,2021,1321878145
This Is What You Came For,Calvin Harris,2016,1746790923
China,Anuel AA,2019,1178076574
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013,759374819
Moonlight,XXXTENTACION,2018,1885431727
I Had Some Help (feat. Morgan Wallen),Post Malone,2024,250080413
Smart,LE SSERAFIM,2024,159256689
That's What I Like,Bruno Mars,2016,2075459887
Commando,Mavokali,2022,21667023
Ride It,Regard,2019,1349427877
Mwaki,Zerb,2023,121234000
BICHOTA,KAROL G,2020,868091483
Renklensin,Reynmen,2024,54940563
Bad idea,Kurochuu,2024,86203995
The Hills,The Weeknd,2015,2306740926
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023,1673557134
SKINNY,Billie Eilish,2024,77212437
Te Felicito,Shakira,2022,719593291
Que Onda,Calle 24,2023,642548537
Stumblin' In,CYRIL,2023,180784576
A Bar Song (Tipsy),Shaboozey,2024,311928522
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022,428164381
Desesperados,Rauw Alejandro,2021,1021480638
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,2024,224033701
Sugar,Maroon 5,2014,1838092894
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]",Abd El Fattah Grini,2023,1993244
Old Town Road - Remix,Lil Nas X,2019,1527106099
Let Me Love You,DJ Snake,2016,2147028486
Envolver,Anitta,2021,635241142
Oublie-moi,Emkal,2022,17992999
Malohat,Xamdam Sobirov,2024,75486
MAESTRO,SEVENTEEN,2024,35244286
you broke me first,Tate McRae,2020,1439465700
Relationship (feat. Future),Young Thug,2017,458957128
Faint,Linkin Park,2024,670009914
Pretty - Sped Up,MEYY,2023,1867282
LA FALDA,Myke Towers,2023,367399860
act ii: date @ 8,4batz,2023,153364964
Cradles,Sub Urban,2019,737097685
Roses - Imanbek Remix,SAINt JHN,2019,1927961994
Angel Numbers / Ten Toes,Chris Brown,2023,179565178
Never Lose Me,Flo Milli,2023,278132516
Reggaeton Champagne,Bellakath,2023,224429894
MASHA ULTRAFUNK,HISTED,2024,32435333
Under The Influence,Chris Brown,2019,1249760413
Life Goes On,Oliver Tree,2020,568230113
Si Una Vez (Remasterizado 2024/30th Anniversary),Selena,2024,212272036
BATTER UP,BABYMONSTER,2023,121497542
SI NO ES CONTIGO,Cris Mj,2024,45287928
Trance (with Travis Scott & Young Thug),Metro Boomin,2022,637325281
Rock and A Hard Place,Bailey Zimmerman,2022,412845771
obsessed,Olivia Rodrigo,2024,129968407
Eyes Closed,Imagine Dragons,2024,51224852
Wanna Be,GloRilla,2024,66836198
Don't Let Me Down,The Chainsmokers,2016,1888829482
DDU-DU DDU-DU,BLACKPINK,2018,701726499
Wake Me Up,Avicii,2013,2325017580
Overdrive (feat. Norma Jean Martine),Ofenbach,2023,232417498
Chulo pt.2,Bad Gyal,2023,318567928
All Girls Are The Same,Juice WRLD,2018,1615353665
Push Up - Main Edit,Creeds,2023,274229438
Kings & Queens,Ava Max,2020,955439608
Adore You,Harry Styles,2019,1670164200
HIGHEST IN THE ROOM,Travis Scott,2019,1625149693
UNAVAILABLE (feat. Musa Keys),Davido,2023,155390490
Million Dollar Baby (Vhs),Tommy Richman,2024,48720820
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018,1570233605
"Chaleya (From ""Jawan"")",Anirudh Ravichander,2023,334578317
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022,419016792
ADIVINO,Myke Towers,2024,118631919
THE BOX MEDLEY FUNK 2,THE BOX,2024,51390127
Cruel Summer,Taylor Swift,2019,2188247133
Breathe,Yeat,2024,131100973
Unforgettable,French Montana,2017,2065697126
EASY,LE SSERAFIM,2024,141803939
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,2023,434019386
Faded,Benjamin Richter,2017,120162
Lose My Breath (Feat. Charlie Puth),Stray Kids,2024,29994527
Move,Adam Port,2024,5917083
F.N,Lil Tjay,2019,731933924
Say You Won't Let Go,James Arthur,2016,2830962669
Blank Space,Taylor Swift,2014,1829733410
Girls Like You,Maroon 5,2017,399689964
HUMBLE.,Kendrick Lamar,2017,2226869580
Forget Me,Lewis Capaldi,2022,343556188
Sabka Malik Ek,Dada Black Sheep,2022,2754
Scared To Start,Michael Marcagi,2024,284119669
Super Freaky Girl,Nicki Minaj,2022,549382975
Miracle (with Ellie Goulding),Calvin Harris,2023,425999315
Somebody That I Used To Know,Gotye,2011,1752826514
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2015,1859886400
Oh No,Kreepa,2019,40284121
Pop Out (feat. Lil Tjay),Polo G,2019,858059276
7 Years,Lukas Graham,2015,1916203330
Something in the Orange,Zach Bryan,2022,891578597
"Happy - From ""Despicable Me 2""",Pharrell Williams,2013,1379786786
Bailando Bachata,Chayanne,2023,136724343
Treat You Better,Shawn Mendes,2016,2164074552
Let Her Go,Passenger,2012,2252713547
Fall Back,Lithe,2024,78227549
Stressed Out,Twenty One Pilots,2015,2313532702
Astronaut In The Ocean,Masked Wolf,2019,1251675613
All of Me,John Legend,2012,2382407025
2055,Sleepy Hallow,2021,811700245
Bandit,Don Toliver,2024,152597421
Redbone,Childish Gambino,2016,1615152539
Yimmy Yimmy,Tayc,2024,28543791
"This Is The Thanks I Get?! - From ""Wish""",Chris Pine,2023,15090071
You Proof,Morgan Wallen,2022,644437397
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021,1502382072
Break My Heart,Dua Lipa,2020,1198689895
Shut Down,BLACKPINK,2022,654818451
Never Let Go,Jung Kook,2024,26891849
Chill Vibes,Tollan Kim,2022,1212312
MIA (feat. Drake),Bad Bunny,2018,1318254846
Toosie Slide,Drake,2020,1059262917
Down Bad,Taylor Swift,2024,210385853
Ballin' (with Roddy Ricch),Mustard,2019,907346612
La llama que Baila,El Reino Infantil,2022,665611
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,2024,33661899
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,553783547
El Merengue,Marshmello,2023,528420867
Made For Me,Muni Long,2023,142945230
Let's Go 4,Mc IG,2023,269785626
TELEKINESIS,Travis Scott,2023,313693195
Daqui pra Sempre,Manu,2023,181784966
Martin & Gina,Polo G,2020,885756212
"thank u, next",Ariana Grande,2018,1878196824
One Dance,Drake,2016,3192204066
ily (i love you baby) (feat. Emilee),Surf Mesa,2019,912461674
Hope,XXXTENTACION,2018,1442703001
TRUSTFALL,P!nk,2023,255898884
Intentions (feat. Quavo),Justin Bieber,2020,1177960398
PRC,Peso Pluma,2023,668103212
Lemonade,Internet Money,2020,1320495311
WITHOUT YOU,The Kid LAROI,2020,927908363
Sensational (feat. Davido & Lojay),Chris Brown,2023,70652012
LET GO,Central Cee,2022,415699405
Blister In The Sun,Violent Femmes,2023,250321751
No Idea,Don Toliver,2019,922761340
Love Yourself,Justin Bieber,2015,2423583406
Cari Mama Muda (Senorita Joven) - Original Mix,Carella,2021,149072
Need A Favor,Jelly Roll,2022,166866092
Heeriye (feat. Arijit Singh),Jasleen Royal,2023,296399608
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,1429277695
Anabella,Khaid,2023,14645123
Bam Bam (feat. Ed Sheeran),Camila Cabello,2021,907821800
Single Soon,Selena Gomez,2023,205555865
Falling Down - Bonus Track,Lil Peep,2018,1156060152
Sin Pijama,Becky G,2018,785389574
Wasted On You,Morgan Wallen,2021,717226454
BREAK MY SOUL,Beyonc?,2022,443564590
Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,2023,9396018
Murder In My Mind,Kordhell,2022,668285368
Unstoppable,Sia,2016,1285237951
traitor,Olivia Rodrigo,2021,1564979439
goosebumps,Travis Scott,2016,2396737761
Hrs and Hrs,Muni Long,2021,241632869
Boy With Luv (feat. Halsey),BTS,2019,1165842896
Broccoli,ati2x06,2024,846435891
Angel Baby,Troye Sivan,2021,533416336
Way 2 Sexy (with Future & Young Thug),Drake,2021,559759920
Bhauji Lenge Lenge,Khesari Lal Yadav,2024,1319711
SORRY 4 THAT MUCH,Feid,2024,8757910
PUFFIN ON ZOOTIEZ,Future,2022,395167576
3D (feat. Jack Harlow),Jung Kook,2023,573249007
XO Tour Llif3,Lil Uzi Vert,2017,2123458039
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,378282960
Desire (with Sam Smith),Calvin Harris,2023,226519256
Cute,Aurel Surya Lie,2022,142732
Cold Heart - PNAU Remix,Elton John,2017,2011121774
In My Mind,Dynoro,2017,1432473324
Eastside (with Halsey & Khalid),benny blanco,2018,1736530084
Godzilla (feat. Juice WRLD),Eminem,2020,1456635235
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,2022,218291402
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,2023,64754747
Cheques,Shubh,2023,276505971
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,2021,979440925
VAGABUNDO,Sebastian Yatra,2023,337650898
Cheap Thrills,Sia,2015,1779046979
Yummy,Justin Bieber,2020,792379282
Wishing Well,Juice WRLD,2020,901486450
Too Good At Goodbyes,Sam Smith,2017,2061017397
SPECIALZ,King Gnu,2023,178413226
Ta Ta Ta,Bayanni,2022,85207310
Un Finde | CROSSOVER #2,Big One,2023,361219290
There's Nothing Holdin' Me Back,Shawn Mendes,2016,2043626431
Gulabi Sadi,Sanju Rathod,2024,34996527
Breaking Me,Topic,2019,1128612961
Belong Together,Mark Ambor,2024,233969547
Shake It Off,Taylor Swift,2014,1409692678
LOVELY BASTARDS,ZWE1HVNDXR,2023,224798632
La Curiosidad,Jay Wheeler,2020,1099019265
EL MAKINON,KAROL G,2021,574357002
In The Stars,Benson Boone,2022,725214939
Shirt,SZA,2022,469322271
Tiryakinim,Bayhan,2024,34304595
We Don't Trust You,Future,2024,68542565
Call Out My Name,The Weeknd,2018,1780889877
Lose Control,MEDUZA,2019,932911098
THE GREATEST,Billie Eilish,2024,74533081
X - Remix,Nicky Jam,2018,341040837
223's (feat. 9lokknine),YNW Melly,2019,484542375
Saami Saami,Mounika Yadav,2021,43286859
?chame La Culpa,Luis Fonsi,2017,935042457
Mask Off,Future,2017,1596770801
BON,Number_i,2024,7269751
Before You Go,Lewis Capaldi,2019,1920784716
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021,428189728
Young Metro,Future,2024,69705399
You Raise Me Up,Josh Groban,2023,124486631
Queencard,(G)I-DLE,2023,289304213
"Maroon Color Sadiya (From ""Fasal"")",Kalpana,2024,10371919
RAPSTAR,Polo G,2021,923823292
Say Yes To Heaven,Lana Del Rey,2023,513353284
Maan Meri Jaan,King,2022,467454503
Best Friend (feat. Doja Cat),Saweetie,2021,571532926
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017,1116304877
SICKO MODE,Travis Scott,2018,2134271997
act ii: date @ 8 (remix),4batz,2024,89787741
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,2023,470659154
The Kind of Love We Make,Luke Combs,2022,470340261
Europapa,Joost,2024,111170278
OMG,NewJeans,2023,675591495
Baila,Karl Wine,2020,2947162
PUNTO 40,Rauw Alejandro,2022,396549329
In The Name Of Love,Martin Garrix,2015,1452194416
Shorty Party,Cartel De Santa,2023,323657766
Drama,aespa,2023,198043685
Head & Heart (feat. MNEK),Joel Corry,2020,1196521179
Callaita,Bad Bunny,2019,1448173030
How Do I Say Goodbye,Dean Lewis,2022,459712644
One Step Closer,Linkin Park,2024,687919107
Hundred Miles (Sped Up Version),Yall,2023,16264949
SNAP,Rosa Linn,2022,1039482815
Lambiyan Raataan,Jubin Nautiyal,2021,53437
Criminal,NATTI NATASHA,2017,889098343
Chantaje,Shakira,2016,1006124005
Laugh Now Cry Later (feat. Lil Durk),Drake,2020,962634706
Psycho,Post Malone,2018,1517935273
Casanova,Soolking,2023,191488217
Holanda,Jhayco,2023,320174752
Faded,Alan Walker,2015,1943842010
Cough,Kizz Daniel,2022,86103527
Afraid To Feel,LF SYSTEM,2022,355203657
Wow.,Post Malone,2018,1680612367
Radioactive,Imagine Dragons,2012,1836362703
